iter	Passed	Remaining
0	110	110240
1	116	58044
2	125	41704
3	131	32838
4	138	27467
5	143	23845
6	150	21290
7	159	19782
8	165	18228
9	171	16994
10	177	15972
11	183	15142
12	192	14590
13	198	13959
14	204	13416
15	210	12969
16	219	12713
17	228	12450
18	234	12114
19	240	11788
20	246	11496
21	255	11355
22	261	11109
23	267	10884
24	280	10929
25	288	10824
26	295	10632
27	301	10453
28	307	10281
29	314	10153
30	322	10071
31	328	9949
32	334	9812
33	340	9682
34	349	9644
35	356	9533
36	362	9429
37	368	9321
38	374	9221
39	383	9210
40	389	9120
41	396	9038
42	402	8953
43	409	8895
44	418	8886
45	425	8825
46	432	8766
47	438	8693
48	447	8679
49	453	8618
50	460	8560
51	465	8494
52	472	8441
53	481	8442
54	487	8382
55	494	8331
56	500	8274
57	506	8226
58	515	8227
59	521	8176
60	527	8124
61	533	8073
62	540	8044
63	547	8012
64	554	7970
65	560	7925
66	565	7881
67	573	7865
68	580	7835
69	586	7797
70	593	7759
71	598	7718
72	607	7713
73	615	7699
74	622	7671
75	628	7642
76	634	7609
77	643	7611
78	649	7576
79	655	7543
80	661	7510
81	668	7478
82	677	7480
83	683	7449
84	689	7416
85	694	7385
86	700	7356
87	709	7356
88	715	7327
89	721	7298
90	727	7269
91	735	7258
92	742	7239
93	748	7213
94	754	7186
95	760	7158
96	768	7149
97	774	7132
98	781	7108
99	786	7081
100	792	7058
101	799	7037
102	808	7042
103	815	7025
104	821	7004
105	829	6995
106	838	6996
107	844	6973
108	850	6952
109	856	6928
110	863	6918
111	871	6908
112	877	6890
113	883	6868
114	889	6846
115	896	6834
116	904	6828
117	910	6809
118	916	6788
119	922	6766
120	930	6761
121	937	6746
122	943	6726
123	949	6709
124	955	6687
125	964	6689
126	970	6674
127	977	6658
128	983	6641
129	989	6621
130	998	6623
131	1004	6605
132	1011	6593
133	1018	6579
134	1025	6567
135	1034	6569
136	1040	6555
137	1047	6541
138	1053	6527
139	1063	6533
140	1069	6515
141	1076	6501
142	1081	6484
143	1088	6469
144	1098	6476
145	1104	6461
146	1110	6445
147	1116	6429
148	1124	6422
149	1131	6411
150	1137	6396
151	1144	6383
152	1150	6366
153	1158	6365
154	1164	6350
155	1171	6337
156	1177	6321
157	1183	6305
158	1191	6302
159	1197	6289
160	1203	6274
161	1209	6258
162	1216	6246
163	1226	6252
164	1232	6239
165	1239	6228
166	1245	6212
167	1252	6203
168	1260	6197
169	1266	6183
170	1272	6169
171	1278	6152
172	1284	6140
173	1293	6139
174	1299	6125
175	1304	6109
176	1310	6094
177	1317	6085
178	1324	6076
179	1330	6063
180	1336	6048
181	1342	6033
182	1350	6029
183	1358	6022
184	1364	6011
185	1370	5998
186	1376	5985
187	1385	5985
188	1393	5980
189	1400	5968
190	1407	5959
191	1414	5953
192	1423	5952
193	1429	5940
194	1436	5929
195	1443	5920
196	1453	5924
197	1460	5914
198	1466	5902
199	1473	5895
200	1484	5899
201	1491	5891
202	1498	5884
203	1504	5871
204	1514	5874
205	1521	5864
206	1528	5855
207	1535	5846
208	1541	5835
209	1551	5836
210	1557	5825
211	1583	5884
212	1592	5884
213	1601	5880
214	1609	5875
215	1618	5875
216	1625	5866
217	1633	5858
218	1641	5853
219	1649	5848
220	1655	5837
221	1662	5824
222	1668	5812
223	1676	5809
224	1683	5797
225	1688	5784
226	1694	5770
227	1700	5757
228	1708	5753
229	1714	5740
230	1720	5727
231	1726	5715
232	1732	5702
233	1739	5695
234	1746	5684
235	1752	5672
236	1758	5660
237	1764	5648
238	1771	5641
239	1778	5632
240	1789	5634
241	1794	5622
242	1801	5611
243	1809	5607
244	1816	5596
245	1822	5585
246	1828	5573
247	1836	5569
248	1844	5561
249	1851	5553
250	1857	5542
251	1862	5529
252	1872	5530
253	1878	5517
254	1885	5507
255	1890	5495
256	1896	5483
257	1906	5481
258	1911	5469
259	1918	5459
260	1923	5447
261	1930	5437
262	1940	5437
263	1948	5431
264	1955	5422
265	1961	5411
266	1971	5413
267	1979	5405
268	1986	5397
269	1992	5386
270	2002	5385
271	2009	5378
272	2016	5369
273	2023	5360
274	2033	5360
275	2041	5355
276	2048	5346
277	2055	5338
278	2063	5331
279	2070	5324
280	2077	5316
281	2084	5306
282	2090	5297
283	2101	5297
284	2107	5286
285	2113	5275
286	2119	5264
287	2125	5253
288	2134	5250
289	2139	5238
290	2145	5227
291	2151	5217
292	2157	5206
293	2167	5203
294	2173	5193
295	2179	5183
296	2185	5172
297	2191	5162
298	2200	5158
299	2206	5148
300	2212	5137
301	2218	5126
302	2226	5120
303	2232	5112
304	2239	5102
305	2245	5092
306	2251	5081
307	2260	5077
308	2266	5069
309	2278	5070
310	2294	5084
311	2301	5074
312	2307	5063
313	2312	5053
314	2319	5043
315	2328	5039
316	2333	5028
317	2340	5018
318	2345	5008
319	2352	4998
320	2361	4995
321	2367	4985
322	2373	4975
323	2380	4966
324	2388	4961
325	2396	4953
326	2402	4943
327	2408	4933
328	2413	4923
329	2423	4920
330	2429	4910
331	2435	4900
332	2442	4891
333	2448	4882
334	2458	4880
335	2466	4873
336	2472	4864
337	2478	4853
338	2487	4849
339	2493	4841
340	2501	4833
341	2507	4824
342	2514	4816
343	2524	4815
344	2532	4807
345	2539	4799
346	2545	4789
347	2555	4788
348	2563	4780
349	2569	4771
350	2576	4763
351	2587	4762
352	2594	4755
353	2601	4747
354	2607	4738
355	2617	4734
356	2624	4726
357	2630	4717
358	2636	4708
359	2643	4699
360	2653	4696
361	2659	4686
362	2665	4677
363	2672	4670
364	2681	4665
365	2688	4656
366	2694	4646
367	2700	4637
368	2706	4627
369	2715	4624
370	2722	4615
371	2728	4606
372	2734	4597
373	2741	4588
374	2750	4584
375	2756	4575
376	2763	4566
377	2769	4556
378	2776	4548
379	2784	4543
380	2791	4535
381	2798	4527
382	2804	4518
383	2814	4515
384	2821	4507
385	2829	4500
386	2835	4491
387	2843	4484
388	2852	4479
389	2860	4473
390	2867	4466
391	2875	4460
392	2883	4453
393	2889	4444
394	2895	4435
395	2902	4426
396	2912	4423
397	2918	4415
398	2925	4406
399	2932	4398
400	2942	4394
401	2950	4388
402	2956	4379
403	2964	4372
404	2970	4364
405	2979	4359
406	2985	4350
407	2991	4341
408	2997	4331
409	3004	4323
410	3012	4317
411	3019	4309
412	3025	4300
413	3031	4290
414	3040	4285
415	3046	4277
416	3053	4268
417	3059	4260
418	3068	4254
419	3076	4248
420	3083	4240
421	3090	4233
422	3096	4223
423	3113	4230
424	3120	4221
425	3126	4213
426	3133	4205
427	3144	4201
428	3150	4193
429	3157	4185
430	3165	4178
431	3174	4173
432	3180	4165
433	3187	4156
434	3193	4148
435	3204	4144
436	3210	4136
437	3216	4127
438	3222	4117
439	3228	4109
440	3238	4104
441	3244	4095
442	3250	4086
443	3256	4077
444	3264	4071
445	3271	4064
446	3278	4055
447	3284	4047
448	3290	4038
449	3300	4033
450	3305	4024
451	3312	4015
452	3318	4006
453	3323	3997
454	3333	3992
455	3340	3985
456	3347	3977
457	3353	3968
458	3362	3963
459	3370	3956
460	3378	3949
461	3384	3940
462	3390	3932
463	3400	3927
464	3406	3919
465	3412	3910
466	3419	3902
467	3428	3897
468	3435	3890
469	3442	3881
470	3448	3873
471	3456	3866
472	3466	3862
473	3473	3854
474	3479	3846
475	3486	3837
476	3495	3832
477	3501	3823
478	3507	3815
479	3513	3806
480	3519	3797
481	3529	3793
482	3536	3784
483	3541	3776
484	3547	3767
485	3554	3758
486	3562	3753
487	3568	3744
488	3574	3735
489	3580	3726
490	3587	3718
491	3595	3711
492	3601	3703
493	3608	3695
494	3613	3687
495	3625	3683
496	3632	3675
497	3639	3668
498	3645	3659
499	3653	3653
500	3661	3646
501	3667	3638
502	3674	3630
503	3681	3622
504	3691	3618
505	3697	3609
506	3703	3601
507	3709	3593
508	3718	3586
509	3726	3580
510	3732	3571
511	3738	3563
512	3745	3555
513	3754	3549
514	3760	3541
515	3766	3533
516	3772	3524
517	3778	3516
518	3788	3510
519	3793	3502
520	3800	3493
521	3806	3485
522	3812	3477
523	3821	3471
524	3828	3463
525	3833	3454
526	3839	3446
527	3847	3439
528	3855	3432
529	3863	3425
530	3870	3418
531	3877	3410
532	3887	3406
533	3894	3398
534	3902	3391
535	3909	3384
536	3919	3379
537	3926	3371
538	3932	3363
539	3939	3356
540	3951	3352
541	3959	3345
542	3965	3337
543	3971	3329
544	3981	3323
545	3988	3316
546	3994	3308
547	4001	3300
548	4009	3293
549	4016	3286
550	4022	3278
551	4028	3269
552	4034	3261
553	4042	3254
554	4048	3246
555	4054	3238
556	4060	3229
557	4066	3221
558	4073	3213
559	4080	3206
560	4087	3198
561	4093	3190
562	4100	3182
563	4109	3176
564	4115	3168
565	4122	3160
566	4128	3152
567	4133	3144
568	4143	3138
569	4149	3130
570	4155	3121
571	4161	3113
572	4166	3105
573	4177	3100
574	4182	3091
575	4189	3084
576	4195	3075
577	4204	3069
578	4212	3062
579	4219	3055
580	4226	3047
581	4232	3039
582	4241	3033
583	4248	3026
584	4254	3017
585	4260	3010
586	4268	3003
587	4276	2996
588	4283	2988
589	4290	2981
590	4297	2974
591	4307	2968
592	4314	2961
593	4321	2953
594	4328	2946
595	4339	2941
596	4346	2933
597	4352	2925
598	4358	2917
599	4366	2911
600	4373	2903
601	4380	2895
602	4388	2889
603	4395	2881
604	4404	2875
605	4411	2868
606	4416	2859
607	4422	2851
608	4431	2844
609	4437	2837
610	4450	2833
611	4456	2825
612	4466	2819
613	4473	2812
614	4481	2805
615	4487	2797
616	4497	2791
617	4505	2785
618	4512	2777
619	4519	2769
620	4526	2762
621	4535	2756
622	4541	2748
623	4547	2739
624	4553	2732
625	4562	2726
626	4569	2718
627	4575	2710
628	4582	2702
629	4589	2695
630	4599	2689
631	4605	2681
632	4611	2673
633	4616	2665
634	4625	2658
635	4631	2650
636	4637	2642
637	4643	2634
638	4649	2626
639	4658	2620
640	4664	2612
641	4670	2604
642	4676	2596
643	4682	2588
644	4690	2581
645	4697	2574
646	4704	2566
647	4711	2559
648	4718	2551
649	4728	2545
650	4734	2538
651	4741	2530
652	4747	2522
653	4758	2517
654	4765	2510
655	4772	2502
656	4779	2495
657	4788	2489
658	4795	2481
659	4802	2473
660	4809	2466
661	4819	2460
662	4826	2453
663	4832	2445
664	4838	2437
665	4845	2429
666	4855	2423
667	4862	2416
668	4868	2408
669	4874	2400
670	4883	2394
671	4890	2387
672	4897	2379
673	4903	2371
674	4910	2364
675	4920	2358
676	4926	2350
677	4932	2342
678	4938	2334
679	4945	2327
680	4953	2320
681	4959	2312
682	4965	2304
683	4971	2296
684	4977	2289
685	4987	2282
686	4993	2274
687	4999	2267
688	5005	2259
689	5016	2253
690	5022	2245
691	5029	2238
692	5035	2230
693	5042	2223
694	5051	2216
695	5058	2209
696	5064	2201
697	5071	2194
698	5081	2188
699	5088	2180
700	5095	2173
701	5102	2166
702	5112	2159
703	5119	2152
704	5125	2144
705	5131	2136
706	5137	2129
707	5146	2122
708	5152	2114
709	5158	2107
710	5164	2099
711	5170	2091
712	5179	2085
713	5185	2077
714	5192	2069
715	5197	2061
716	5203	2053
717	5212	2047
718	5218	2039
719	5223	2031
720	5229	2023
721	5235	2015
722	5245	2009
723	5250	2001
724	5257	1994
725	5262	1986
726	5268	1978
727	5278	1972
728	5283	1964
729	5291	1957
730	5297	1949
731	5306	1942
732	5316	1936
733	5323	1929
734	5330	1921
735	5339	1915
736	5346	1907
737	5352	1900
738	5359	1892
739	5366	1885
740	5377	1879
741	5384	1872
742	5390	1864
743	5397	1857
744	5409	1851
745	5415	1844
746	5422	1836
747	5429	1829
748	5440	1823
749	5452	1817
750	5458	1809
751	5464	1802
752	5474	1795
753	5480	1788
754	5486	1780
755	5492	1772
